infiltration_mult,energy_kwh,error_kwh,error_pct
0.8,734945.0324000001,20183.032400000142,2.823741665057759
1.0,740589.48136,25827.481359999976,3.6134379499749536
1.2,746422.8193600001,31660.81936000008,4.429561079072486
1.4,752411.7130400001,37649.71304000006,5.267447491612601
1.6,758547.82906,43785.82906000002,6.125931297410888
