infiltration_mult,faulty_energy_kwh,fixed_energy_kwh,energy_savings_kwh,cost_savings_usd
1.4727734657082654,754601.2873632688,740615.6971442103,13985.590219058446,1678.2708262870135
1.3070229361896764,749586.7233956982,740615.6971442103,8971.0262514879,1076.523150178548
1.1770560108089403,745741.8992066003,740615.6971442103,5126.20206238993,615.1442474867915
0.8593658703678337,736619.5059173474,740615.6971442103,-3996.191226862953,-479.54294722355434
1.3589639466605181,751144.490948962,740615.6971442103,10528.79380475171,1263.455256570205
1.1005813756854383,743513.0570773975,740615.6971442103,2897.3599331871374,347.6831919824565
1.33580266365516,750448.3307831062,740615.6971442103,9832.633638895815,1179.9160366674978
1.6445520628949106,759930.1295989171,740615.6971442103,19314.43245470675,2317.7318945648103
1.3814198496619134,751821.8109013203,740615.6971442103,11206.113757109968,1344.7336508531962
1.5014772204280573,755482.5530356665,740615.6971442103,14866.855891456129,1784.0227069747355
1.4895503379577257,755115.9149725423,740615.6971442103,14500.21782833198,1740.0261393998376
1.1567293694514056,745147.1608914228,740615.6971442103,4531.4637472124305,543.7756496654916
1.037536593485314,741692.7296624332,740615.6971442103,1077.0325182228116,129.2439021867374
1.159998796888005,745242.7055669314,740615.6971442103,4627.008422721061,555.2410107265273
1.2698273325022398,748478.732290937,740615.6971442103,7863.035146726645,943.5642176071973
1.0725438213504503,742701.6862509408,740615.6971442103,2085.9891067304416,250.31869280765298
1.327953435422895,750212.9650779201,740615.6971442103,9597.26793370978,1151.6721520451736
1.392537653608014,752158.0114607015,740615.6971442103,11542.31431649113,1385.0777179789357
1.0529847054348256,742137.4156297435,740615.6971442103,1521.7184855331434,182.6062182639772
1.5258114169581576,756232.603817942,740615.6971442103,15616.906673731632,1874.0288008477958
1.3367134824449605,750475.6607418967,740615.6971442103,9859.96359768638,1183.1956317223655
1.362705610892057,751257.1861870111,740615.6971442103,10641.489042800735,1276.9786851360882
1.4761470431475083,754704.667576112,740615.6971442103,14088.970431901631,1690.6764518281957
1.4455394819253953,753768.6448363008,740615.6971442103,13152.947692090413,1578.3537230508496
1.2867915963755647,748983.2935562142,740615.6971442103,8367.596412003855,1004.1115694404626
1.1327096352977208,744446.5565097949,740615.6971442103,3830.8593655845616,459.70312387014735
1.271025708117381,748514.3327139578,740615.6971442103,7898.635569747421,947.8362683696905
1.1371913108418636,744577.0997223655,740615.6971442103,3961.402578155161,475.3683093786193
1.2355341326774671,747462.6820775558,740615.6971442103,6846.984933345462,821.6381920014554
1.5068794954613065,755648.8348833906,740615.6971442103,15033.137739180238,1803.9765287016285
1.5621266465037416,757356.8993755855,740615.6971442103,16741.20223137515,2008.9442677650181
1.2593267196154074,748167.0624411437,740615.6971442103,7551.365296933334,906.1638356320001
1.3777102563461536,751709.7606492874,740615.6971442103,11094.063505077036,1331.2876206092442
1.0684220819318977,742582.6586110182,740615.6971442103,1966.961466807872,236.03537601694464
1.5198975559318106,756050.0747401621,740615.6971442103,15434.37759595178,1852.1253115142135
1.3845452113038617,751916.2635270286,740615.6971442103,11300.566382818273,1356.0679659381926
